City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Grand Baie,MU,-20.0182,57.5802,69.46,88,11,5.01,moderate rain
226,Keetmanshoop,NA,-26.5833,18.1333,60.62,23,5,12.37,clear sky
227,Neepawa,CA,50.2289,-99.4664,66.13,59,100,9.57,overcast clouds
228,Tarakan,ID,3.3,117.6333,78.37,83,100,6.42,overcast clouds
229,Porosozero,RU,62.7191,32.727,54.36,85,97,4.65,overcast clouds
230,Padang,ID,-0.9492,100.3543,75.87,90,92,1.99,overcast clouds
231,Kommunar,RU,59.6206,30.39,60.33,82,100,2.91,overcast clouds
232,Chuy,UY,-33.6971,-53.4616,48.6,56,35,14.45,scattered clouds
233,Slave Lake,CA,55.2834,-114.769,60.46,63,100,10.69,overcast clouds
234,Salalah,OM,17.0151,54.0924,86.09,79,75,8.05,broken clouds
235,Waspan,NI,14.7419,-83.9717,83.86,68,100,6.62,overcast clouds
236,Pogranichnyy,RU,44.4064,131.3769,52.09,97,20,1.63,few clouds
237,San Luis,AR,-33.295,-66.3356,58.39,34,93,8.48,overcast clouds
238,Sao Filipe,CV,14.8961,-24.4956,74.57,83,1,10.33,clear sky
239,Nelson Bay,AU,-32.7167,152.15,48.09,79,1,15.05,clear sky
240,Muros,ES,42.7762,-9.0603,68.16,73,3,13.06,clear sky
241,Tabou,CI,4.423,-7.3528,76.91,88,99,8.61,light rain
242,Santa Rosa,PH,14.3122,121.1114,84.18,75,96,3.65,overcast clouds
243,Doba,TD,8.65,16.85,78.84,63,36,3.53,scattered clouds
244,Brae,GB,60.3964,-1.353,54.57,84,100,10.76,overcast clouds
245,Hovd,MN,48.0056,91.6419,53.31,27,0,1.92,clear sky
246,Ilhabela,BR,-23.7781,-45.3581,68.56,90,88,10.85,overcast clouds
247,Canto Do Buriti,BR,-8.11,-42.9444,90.77,31,91,6.08,overcast clouds
248,Gizo,SB,-8.103,156.8419,81.3,76,10,6.96,clear sky
249,Nakhon Si Thammarat,TH,8.25,100.0,75.63,88,97,3.87,overcast clouds
250,Paracatu,BR,-17.2222,-46.8747,80.85,29,100,4.41,overcast clouds
251,Dingle,PH,10.9995,122.6711,76.23,89,100,2.95,overcast clouds
252,Saint-Joseph,RE,-21.3667,55.6167,64.78,78,50,10.94,scattered clouds
253,Shenjiamen,CN,29.9576,122.298,69.35,87,100,13.6,overcast clouds
254,Manavalakurichi,IN,8.1333,77.3,79.2,85,58,12.66,broken clouds
255,Junin,AR,-34.5838,-60.9433,51.87,21,0,9.95,clear sky
256,Atar,MR,20.5169,-13.0499,99.81,12,5,14.16,clear sky
257,Ketchikan,US,55.3422,-131.6461,52.27,87,100,14.97,overcast clouds
258,Ahipara,NZ,-35.1667,173.1667,59.65,89,13,16.98,few clouds
259,Saint-Francois,FR,46.4154,3.9054,69.24,64,0,3.44,clear sky
260,Constitucion,CL,-35.3333,-72.4167,59.29,50,0,7.02,clear sky
261,Pong,TH,19.1493,100.2752,73.27,98,100,2.66,light rain
262,Rockport,US,28.0206,-97.0544,93.25,72,0,16.11,clear sky
263,Aranos,NA,-24.1333,19.1167,55.89,26,0,12.57,clear sky
264,Tuatapere,NZ,-46.1333,167.6833,37.92,94,100,3.04,overcast clouds
265,Puerto Quijarro,BO,-17.7833,-57.7667,71.2,68,100,6.42,overcast clouds
266,Acapulco,MX,16.8634,-99.8901,87.62,66,75,13.8,broken clouds
267,Watertown,US,42.3709,-71.1828,80.19,42,75,14.97,broken clouds
268,Chifeng,CN,42.2683,118.9636,60.73,91,100,5.61,overcast clouds
269,Aykhal,RU,66.0,111.5,42.28,82,91,10.02,overcast clouds
270,Tezu,IN,27.9167,96.1667,73.29,99,100,3.02,overcast clouds
271,Sao Sebastiao,BR,-23.76,-45.4097,68.18,93,93,9.51,overcast clouds
272,Aksu,CN,41.1231,80.2644,77.85,25,43,4.61,scattered clouds
273,Lota,CL,-37.0833,-73.1667,58.46,52,5,1.88,clear sky
274,Port Macquarie,AU,-31.4333,152.9167,45.27,77,0,7.29,clear sky
275,Bowen,AU,-20.0167,148.2333,53.58,64,0,8.75,clear sky
276,Keuruu,FI,62.2667,24.7,60.8,74,76,2.77,broken clouds
277,Kamenka,RU,51.3223,42.7678,63.59,75,23,4.59,few clouds
278,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.01,25,34,3.98,scattered clouds
279,Klaksvik,FO,62.2266,-6.589,52.72,96,100,27.47,light rain
280,Caucaia,BR,-3.7361,-38.6531,82.35,71,20,13.8,few clouds
281,Umm Lajj,SA,25.0213,37.2685,89.62,36,0,7.67,clear sky
282,Nome,US,64.5011,-165.4064,57.27,31,0,12.66,clear sky
283,Badia Polesine,IT,45.0972,11.4916,76.01,58,6,2.95,clear sky
284,Calvinia,ZA,-31.4707,19.776,56.88,27,0,9.57,clear sky
285,Muskego,US,42.9058,-88.139,75.0,61,40,13.8,scattered clouds
286,Yelizovo,RU,53.1873,158.3805,44.74,100,75,2.24,broken clouds
287,Hambantota,LK,6.1241,81.1185,79.32,84,88,16.98,overcast clouds
288,Mirnyy,RU,62.5353,113.9611,48.24,93,80,7.0,broken clouds
289,Fort Nelson,CA,58.8053,-122.7002,59.49,73,100,2.95,light rain
290,Port Blair,IN,11.6667,92.75,81.99,81,100,16.64,overcast clouds
291,Porto Novo,BJ,6.4965,2.6036,80.42,82,100,7.07,overcast clouds
292,Kodiak,US,57.79,-152.4072,60.31,59,40,8.05,scattered clouds
293,Warrington,GB,53.3925,-2.5802,62.46,64,20,24.16,few clouds
294,Misratah,LY,32.3754,15.0925,73.13,67,0,21.21,clear sky
295,Thinadhoo,MV,0.5333,72.9333,83.61,71,100,9.93,light rain
296,Harrison,US,30.4091,-89.0436,86.02,72,0,6.91,clear sky
